"Neighbourhood","Cluster","CommunityArea"
"Agassiz","Fort Garry South","Fort Garry"
"Airport","St. James-Assiniboia East","St. James-Assiniboia"
"Alpine Place","St. Vital North","St. Vital"
"Amber Trails","Seven Oaks West","Seven Oaks"
"Archwood","St. Boniface East","St. Boniface"
"Armstrong Point","Downtown East","Downtown"
"Assiniboia Downs","St. James-Assiniboia West","St. James-Assiniboia"
"Assiniboine Park","Assiniboine South","Assiniboine South"
"Beaumont","Fort Garry North","Fort Garry"
"Betsworth","Assiniboine South","Assiniboine South"
"Birchwood","St. James-Assiniboia East","St. James-Assiniboia"
"Booth","St. James-Assiniboia East","St. James-Assiniboia"
"Bridgwater Centre","Fort Garry South","Fort Garry"
"Bridgwater Forest","Fort Garry South","Fort Garry"
"Bridgwater Lakes","Fort Garry South","Fort Garry"
"Bridgwater Trails","Fort Garry South","Fort Garry"
"Broadway-Assiniboine","Downtown East","Downtown"
"Brockville","Fort Garry North","Fort Garry"
"Brooklands","Inkster East","Inkster"
"Bruce Park","St. James-Assiniboia East","St. James-Assiniboia"
"Buchanan","St. James-Assiniboia West","St. James-Assiniboia"
"Buffalo","Fort Garry North","Fort Garry"
"Burrows-Keewatin","Inkster East","Inkster"
"Burrows Central","Point Douglas North","Point Douglas"
"Canterbury Park","Transcona","Transcona"
"Centennial","Downtown East","Downtown"
"Central Park","Downtown East","Downtown"
"Central River Heights","River Heights West","River Heights"
"Central St. Boniface","St. Boniface West","St. Boniface"
"Chalmers","River East South","River East"
"Chevrier","Fort Garry North","Fort Garry"
"China Town","Downtown East","Downtown"
"Civic Centre","Downtown East","Downtown"
"Cloutier Drive","Fort Garry South","Fort Garry"
"Colony","Downtown East","Downtown"
"Crescent Park","Fort Garry North","Fort Garry"
"Crescentwood","River Heights West","River Heights"
"Crestview","St. James-Assiniboia West","St. James-Assiniboia"
"Dakota Crossing","St. Vital South","St. Vital"
"Daniel McIntyre","Downtown West","Downtown"
"Deer Lodge","St. James-Assiniboia East","St. James-Assiniboia"
"Dufferin","Point Douglas South","Point Douglas"
"Dufferin Industrial","Point Douglas South","Point Douglas"
"Dufresne","St. Boniface East","St. Boniface"
"Dugald","St. Boniface East","St. Boniface"
"Eaglemere","River East East","River East"
"Earl Grey","River Heights West","River Heights"
"East Elmwood","River East South","River East"
"Ebby-Wentworth","River Heights West","River Heights"
"Edgeland","Assiniboine South","Assiniboine South"
"Elm Park","St. Vital North","St. Vital"
"Elmhurst","Assiniboine South","Assiniboine South"
"Eric Coy","Assiniboine South","Assiniboine South"
"Exchange District","Downtown East","Downtown"
"Fairfield Park","Fort Garry South","Fort Garry"
"Fort Richmond","Fort Garry South","Fort Garry"
"Fraipont","St. Boniface East","St. Boniface"
"Garden City","Seven Oaks East","Seven Oaks"
"Glendale","St. James-Assiniboia West","St. James-Assiniboia"
"Glenelm","River East South","River East"
"Glenwood","St. Vital North","St. Vital"
"Grant Park","River Heights West","River Heights"
"Grassie","River East East","River East"
"Griffin","Transcona","Transcona"
"Heritage Park","St. James-Assiniboia West","St. James-Assiniboia"
"Holden","St. Boniface East","St. Boniface"
"Inkster-Faraday","Point Douglas North","Point Douglas"
"Inkster Gardens","Inkster West","Inkster"
"Inkster Industrial Park","Inkster East","Inkster"
"Island Lakes","St. Boniface East","St. Boniface"
"J. B. Mitchell","River Heights West","River Heights"
"Jameswood","St. James-Assiniboia East","St. James-Assiniboia"
"Jefferson","Seven Oaks East","Seven Oaks"
"Kensington","St. James-Assiniboia East","St. James-Assiniboia"
"Kern Park","Transcona","Transcona"
"Kil-Cona Park","River East East","River East"
"Kildare-Redonda","Transcona","Transcona"
"Kildonan Crossing","River East East","River East"
"Kildonan Drive","River East West","River East"
"Kildonan Park","Seven Oaks East","Seven Oaks"
"King Edward","St. James-Assiniboia East","St. James-Assiniboia"
"Kingston Crescent","St. Vital North","St. Vital"
"Kirkfield","St. James-Assiniboia West","St. James-Assiniboia"
"La Barriere","Fort Garry South","Fort Garry"
"Lavalee","St. Vital North","St. Vital"
"Legislature","Downtown East","Downtown"
"Leila-McPhillips Triangle","Seven Oaks East","Seven Oaks"
"Leila North","Seven Oaks East","Seven Oaks"
"Linden Ridge","Fort Garry North","Fort Garry"
"Linden Woods","Fort Garry North","Fort Garry"
"Logan-C.P.R.","Downtown East","Downtown"
"Lord Roberts","River Heights East","River Heights"
"Lord Selkirk Park","Point Douglas South","Point Douglas"
"Luxton","Point Douglas North","Point Douglas"
"Maginot","St. Boniface East","St. Boniface"
"Mandalay West","Seven Oaks West","Seven Oaks"
"Maple Grove Park","St. Vital South","St. Vital"
"Margaret Park","Seven Oaks East","Seven Oaks"
"Marlton","Assiniboine South","Assiniboine South"
"Mathers","River Heights West","River Heights"
